,bookID,title,average_rating,num_pages,ratings_count,text_reviews_count,publication_date,publisher,language_name,author,genre
0,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,652,2095690,27591,2006-09-16,Scholastic Inc.,English,J.K. Rowling,Fantasy
1,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,870,2153167,29221,2004-09-01,Scholastic Inc.,English,J.K. Rowling,Fantasy
2,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,352,6333,244,2003-11-01,Scholastic,English,J.K. Rowling,Fantasy
3,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,435,2339585,36325,2004-05-01,Scholastic Inc.,English,J.K. Rowling,Fantasy
4,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),4.78,2690,41428,164,2004-09-13,Scholastic,English,J.K. Rowling,Fantasy
5,9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",3.74,152,19,1,2005-04-26,Nimble Books,English,W. Frederick Zimmerman,blank
6,10,Harry Potter Collection (Harry Potter  #1-6),4.73,3342,28242,808,2005-09-12,Scholastic,English,J.K. Rowling,Fantasy
7,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),4.38,815,3628,254,2005-11-01,Gramercy Books,English,Douglas Adams,Science Fiction
8,13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),4.38,815,249558,4080,2002-04-30,Del Rey Books,English,Douglas Adams,Science Fiction
9,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,215,4930,460,2004-08-03,Crown,English,Douglas Adams,Science Fiction
10,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,6,1266,253,2005-03-23,Random House Audio,English,Douglas Adams,Science Fiction
11,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),4.38,815,2877,195,1996-01-17,Wings Books,English,Douglas Adams,Science Fiction
