Key,Value
1,"['Fantasy', 'Young Adult', 'Fiction']"
2,"['Fantasy', 'Young Adult', 'Fiction']"
4,"['Fantasy', 'Fiction', 'Young Adult']"
5,"['Fantasy', 'Fiction', 'Young Adult']"
8,"['Fantasy', 'Young Adult', 'Fiction']"
10,"['Fantasy', 'Fiction', 'Young Adult']"
12,"['Science Fiction', 'Fiction', 'Humor']"
13,"['Science Fiction', 'Fiction', 'Humor']"
14,"['Science Fiction', 'Fiction', 'Humor']"
16,"['Science Fiction', 'Fiction', 'Humor']"
18,"['Science Fiction', 'Fiction', 'Humor']"
21,"['Nonfiction', 'Science', 'History']"
22,"['Travel', 'Nonfiction', 'Africa']"
23,"['Nonfiction', 'Writing', 'Language']"
24,"['Travel', 'Nonfiction', 'Humor']"
25,"['Nonfiction', 'Travel', 'Humor']"
26,"['Travel', 'Nonfiction', 'Humor']"
27,"['Travel', 'Nonfiction', 'Humor']"
28,"['Travel', 'Nonfiction', 'Humor']"
29,"['Nonfiction', 'History', 'Language']"
30,"['Fantasy', 'Fiction', 'Classics']"
31,"['Fantasy', 'Classics', 'Fiction']"
34,"['Fantasy', 'Classics', 'Fiction']"
35,"['Fantasy', 'Classics', 'Fiction']"
36,"['Fantasy', 'Art', 'Fiction']"
37,"['Fantasy', 'Film', 'Reference']"
45,"['Programming', 'Technology', 'Nonfiction']"
50,"['Young Adult', 'Fiction', 'Classics']"
53,"['Nonfiction', 'Biography', 'Adventure']"
55,"['Nonfiction', 'Essays', 'Literary Criticism']"
57,"['Romance', 'Paranormal', 'Anthologies']"
58,"['Fantasy', 'Young Adult', 'Fiction']"
59,"['Fantasy', 'Young Adult', 'Fiction']"
61,"['Fiction', 'Young Adult', 'Fantasy']"
63,"['Historical Fiction', 'Fiction', 'Fantasy']"
66,"['Historical Fiction', 'Romance', 'Fiction']"
67,"['Historical Fiction', 'Fiction', 'African American']"
68,"['Historical Fiction', 'Fiction', 'African American']"
69,"['Historical Fiction', 'Fiction', 'African American']"
71,"['Finance', 'Economics', 'Business']"
72,"['Fantasy', 'Role Playing Games', '5-star-reads']"
74,"['Nonfiction', 'Essays', 'Journalism']"
75,"['Nonfiction', 'Essays', 'Travel']"
76,"['Nonfiction', 'Medicine', 'Medical']"
77,"['Nonfiction', 'Science', 'Nature']"
78,"['Science', 'Nonfiction', 'Geology']"
79,"['Nonfiction', 'Travel', 'Nature']"
80,"['Nonfiction', 'History', 'Travel']"
81,"['Nonfiction', 'Essays', 'Writing']"
83,"['Nonfiction', 'Science', 'Geology']"
85,"['Plays', 'Drama', 'Fiction']"
86,"['Plays', 'Drama', 'Theatre']"
91,"['Christian', 'Biography', 'Nonfiction']"
93,"['Classics', 'Fiction', 'Childrens']"
96,"['Christian', 'Biography', 'Nonfiction']"
98,"['Parenting', 'Nonfiction', 'Reference']"
99,"['Self Help', 'mytime-proofbooks', 'cozy-cute-chic']"
100,"['Crafts', 'Nonfiction', 'Reference']"
103,"['Science Fiction', 'Fiction', 'Fantasy']"
105,"['Science Fiction', 'Fiction', 'Fantasy']"
106,"['Science Fiction', 'Fiction', 'Fantasy']"
107,"['Biography', 'Nonfiction', 'Science Fiction Fantasy']"
109,"['Science Fiction', 'Fiction', 'Fantasy']"
110,"['Science Fiction', 'Fiction', 'Fantasy']"
117,"['Science Fiction', 'Fiction', 'Fantasy']"
119,"['Fantasy', 'Art', 'Fiction']"
122,"['Fiction', 'Historical Fiction', 'Africa']"
123,"['Fiction', 'Historical Fiction', 'Africa']"
130,"['Business', 'Nonfiction', 'Self Help']"
133,"['Reference', 'Nonfiction', 'Business']"
137,"['Business', 'Nonfiction', 'Reference']"
140,"['Reference', 'computers-internet', 'reference']"
141,"['Programming', 'Computers', 'Coding']"
142,"['Cookbooks', 'Nonfiction', '2004_and_before']"
151,"['Classics', 'Fiction', 'Romance']"
152,"['Classics', 'Fiction', 'Romance']"
153,"['Classics', 'Fiction', 'Romance']"
155,"['Classics', 'Fiction', 'Romance']"
156,"['Classics', 'Fiction', 'Romance']"
157,"['Classics', 'Fiction', 'Romance']"
159,"['Fiction', 'Books About Books', 'Contemporary']"
160,"['Classics', 'Fiction', 'Russian Literature']"
162,"['Fiction', 'India', 'Classics']"
163,"['Fiction', 'Historical Fiction', 'Ireland']"
164,"['Nonfiction', 'History', 'True Crime']"
165,"['India', 'Nonfiction', 'Biography Memoir']"
168,"['India', 'Biography', 'Politics']"
180,"['Science', 'Physics', 'Nonfiction']"
181,"['Fantasy', 'Fiction', 'Classics']"
201,"['Fantasy', 'Fiction', 'Classics']"
204,"['Historical Fiction', 'Historical', 'Fiction']"
205,"['Mystery', 'Historical Fiction', 'Fiction']"
207,"['Travel', 'Nonfiction', 'Adventure']"
208,"['Fantasy', 'Fiction', 'Epic Fantasy']"
213,"['Crime', 'Fiction', 'Mystery']"
